mileage,Age,stroke_values,Light Type,price
50000,14,4 stroke,Double Light,575000
54000,11,4 stroke,Double Light,870000
78000,32,2 stroke,Single Light,265000
23000,19,2 stroke,Single Light,430000
78563,12,4 stroke,Double Light,755000
22000,13,4 stroke,Double Light,640000
65000,7,4 stroke,Double Light,1065000
65000,16,4 stroke,Single Light,590000
55000,12,4 stroke,Double Light,750000
43432,21,2 stroke,Single Light,585000
60000,12,4 stroke,Double Light,795000
50000,18,2 stroke,Single Light,625000
55000,8,4 stroke,Double Light,950000
44313,8,4 stroke,Double Light,980000
23154,7,4 stroke,Double Light,1100000
64000,10,4 stroke,Double Light,760000
40000,13,4 stroke,Double Light,700000
20000,15,4 stroke,Single Light,655000
50000,17,2 stroke,Single Light,550000
19000,18,2 stroke,Single Light,500000
32570,12,4 stroke,Double Light,800000
92000,9,4 stroke,Double Light,960000
21545,16,4 stroke,Single Light,595000
62827,20,2 stroke,Single Light,495000
69800,11,4 stroke,Double Light,900000
85258,26,2 stroke,Single Light,225000
34700,8,4 stroke,Double Light,940000
85658,16,4 stroke,Single Light,575000
65000,12,4 stroke,Double Light,620000
45000,23,2 stroke,Single Light,350000
123456,13,4 stroke,Double Light,750000
20000,9,4 stroke,Double Light,960000
45120,11,4 stroke,Double Light,785000
33000,8,4 stroke,Double Light,1000000
25888,14,4 stroke,Double Light,565000
45000,12,4 stroke,Double Light,760000
50000,13,4 stroke,Double Light,650000
89562,8,4 stroke,Double Light,1070000
74125,17,2 stroke,Single Light,735000
48000,13,4 stroke,Double Light,865000
6541,31,2 stroke,Single Light,260000
44331,9,4 stroke,Double Light,885000
56000,10,4 stroke,Double Light,845000
36395,14,4 stroke,Double Light,690000
40000,17,2 stroke,Single Light,510000
27000,14,4 stroke,Double Light,850000
100000,11,4 stroke,Double Light,720000
89000,21,2 stroke,Single Light,350000
45000,13,4 stroke,Double Light,710000
81600,16,4 stroke,Single Light,575000
32154,9,4 stroke,Double Light,1095000
150000,19,2 stroke,Single Light,525000
27456,17,4 stroke,Single Light,645000
65000,13,4 stroke,Double Light,690000
49000,12,4 stroke,Double Light,935000
140000,16,4 stroke,Single Light,650000
40000,13,4 stroke,Double Light,720000
63000,25,2 stroke,Single Light,450000
20000,14,4 stroke,Double Light,600000
45000,9,4 stroke,Double Light,725000
100000,17,2 stroke,Single Light,500000
32154,13,4 stroke,Double Light,780000
100000,19,2 stroke,Single Light,493000
25000,11,4 stroke,Double Light,900000
120000,15,4 stroke,Single Light,600000
25000,14,4 stroke,Double Light,850000
72000,9,4 stroke,Double Light,825000
43534,17,2 stroke,Single Light,475000
32135,13,4 stroke,Double Light,675000
60000,13,4 stroke,Double Light,735000
58000,12,4 stroke,Double Light,875000
20000,15,4 stroke,Single Light,630000
46000,17,4 stroke,Single Light,720000
45000,12,4 stroke,Double Light,810000
65475,28,2 stroke,Single Light,270000
25800,7,4 stroke,Double Light,950000
155000,24,2 stroke,Single Light,425000
35000,16,4 stroke,Single Light,775000
50000,14,4 stroke,Double Light,650000
55000,17,4 stroke,Single Light,560000
35000,8,4 stroke,Double Light,890000
50000,29,2 stroke,Single Light,375000
85000,17,2 stroke,Single Light,820000
20000,19,2 stroke,Single Light,465000
44000,8,4 stroke,Double Light,970000
17500,11,4 stroke,Double Light,820000
56000,12,4 stroke,Double Light,770000
67000,11,4 stroke,Double Light,780000
98069,12,4 stroke,Double Light,675000
150000,23,2 stroke,Single Light,375000
40000,13,4 stroke,Double Light,730000
30000,16,4 stroke,Single Light,700000
120000,19,2 stroke,Single Light,650000
60000,11,4 stroke,Double Light,890000
65000,11,4 stroke,Double Light,760000
32000,3,4 stroke,Double Light,1750000
54000,10,4 stroke,Double Light,1000000
25000,11,4 stroke,Double Light,890000
75000,24,2 stroke,Single Light,390000
88000,8,4 stroke,Double Light,1125000
50000,8,4 stroke,Double Light,975000
67000,12,4 stroke,Double Light,785000
60000,9,4 stroke,Double Light,950000
58345,12,4 stroke,Double Light,650000
86000,10,4 stroke,Double Light,960000
65000,16,4 stroke,Single Light,725000
66000,13,4 stroke,Double Light,720000
35000,13,4 stroke,Double Light,695000
44311,19,2 stroke,Single Light,400000
89784,10,4 stroke,Double Light,880000
12345,23,2 stroke,Single Light,350000
32152,9,4 stroke,Double Light,960000
65554,12,4 stroke,Double Light,790000
50000,12,4 stroke,Double Light,740000
35000,3,4 stroke,Double Light,1365000
45000,17,4 stroke,Single Light,640000
32666,12,4 stroke,Double Light,870000
60000,13,4 stroke,Double Light,630000
65545,13,4 stroke,Double Light,695000
39000,13,4 stroke,Double Light,625000
64000,8,4 stroke,Double Light,1000000
23500,7,4 stroke,Double Light,1260000
78000,10,4 stroke,Double Light,850000
12345,16,4 stroke,Single Light,440000
100000,20,2 stroke,Single Light,423000
56561,8,4 stroke,Double Light,960000
78900,14,4 stroke,Double Light,635000
65000,12,4 stroke,Double Light,840000
89500,13,4 stroke,Double Light,800000
95000,11,4 stroke,Double Light,960000
39548,11,4 stroke,Double Light,900000
62000,13,4 stroke,Double Light,690000
55000,15,4 stroke,Single Light,630000
32152,13,4 stroke,Double Light,680000
50000,11,4 stroke,Double Light,900000
20000,13,4 stroke,Double Light,600000
89891,18,4 stroke,Single Light,570000
50000,13,4 stroke,Double Light,550000
12300,5,4 stroke,Double Light,1365000
25000,13,4 stroke,Double Light,585000
65000,11,4 stroke,Double Light,830000
20000,13,4 stroke,Double Light,794000
84260,19,2 stroke,Single Light,560000
67455,8,4 stroke,Double Light,1050000
40000,5,4 stroke,Double Light,1200000
70000,14,4 stroke,Double Light,500000
52000,8,4 stroke,Double Light,850000
94500,13,4 stroke,Double Light,750000
39000,18,2 stroke,Single Light,470000
62500,20,2 stroke,Single Light,459000
60000,12,4 stroke,Double Light,800000
12345,17,4 stroke,Single Light,755000
74451,8,4 stroke,Double Light,950000
43000,5,4 stroke,Double Light,1200000
59854,9,4 stroke,Double Light,1000000
5500,16,4 stroke,Single Light,635000
85612,12,4 stroke,Double Light,765000
125000,25,2 stroke,Single Light,430000
65000,17,2 stroke,Single Light,610000
36000,6,4 stroke,Double Light,1200000
45000,24,2 stroke,Single Light,310000
63000,10,4 stroke,Double Light,1050000
85000,17,2 stroke,Single Light,625000
68000,29,2 stroke,Single Light,420000
38000,12,4 stroke,Double Light,775000
54000,13,4 stroke,Double Light,670000
65412,10,4 stroke,Double Light,790000
45789,11,4 stroke,Double Light,915000
25000,9,4 stroke,Double Light,960000
32000,8,4 stroke,Double Light,975000
34000,9,4 stroke,Double Light,1070000
89564,13,4 stroke,Double Light,580000
65000,13,4 stroke,Double Light,720000
15000,15,4 stroke,Single Light,640000
65000,17,2 stroke,Single Light,690000
50000,28,2 stroke,Single Light,208000
21848,12,4 stroke,Double Light,890000
65789,24,2 stroke,Single Light,150000
100000,20,2 stroke,Single Light,543000
29000,9,4 stroke,Double Light,920000
19300,4,4 stroke,Double Light,1490000
50955,11,4 stroke,Double Light,735000
23000,18,4 stroke,Single Light,630000
32154,12,4 stroke,Double Light,765000
50000,18,2 stroke,Single Light,570000
43600,7,4 stroke,Double Light,1225000
32151,11,4 stroke,Double Light,850000
21588,9,4 stroke,Double Light,975000
100000,15,4 stroke,Single Light,675000
35800,11,4 stroke,Double Light,950000
68000,16,4 stroke,Single Light,650000
55000,18,2 stroke,Single Light,530000
90800,23,2 stroke,Single Light,420000
55000,27,2 stroke,Single Light,280000
120000,24,2 stroke,Single Light,340000
20000,16,4 stroke,Single Light,520000
50000,18,2 stroke,Single Light,460000
100000,22,2 stroke,Single Light,440000
12345,18,4 stroke,Single Light,765000
48000,13,4 stroke,Double Light,790000
65000,9,4 stroke,Double Light,880000
150000,19,2 stroke,Single Light,500000
95000,15,4 stroke,Single Light,575000
56000,11,4 stroke,Double Light,910000
25000,12,4 stroke,Double Light,800000
50000,13,4 stroke,Double Light,680000
50000,13,4 stroke,Double Light,650000
44431,18,2 stroke,Single Light,740000
65000,8,4 stroke,Double Light,855000
60570,10,4 stroke,Double Light,885000
100000,16,4 stroke,Single Light,483000
40000,13,4 stroke,Double Light,830000
42161,9,4 stroke,Double Light,1000000
20600,8,4 stroke,Double Light,1125000
65000,11,4 stroke,Double Light,835000
69000,16,4 stroke,Single Light,700000
65432,17,2 stroke,Single Light,680000
50000,9,4 stroke,Double Light,980000
43777,9,4 stroke,Double Light,850000
50000,8,4 stroke,Double Light,975000
100000,10,4 stroke,Double Light,900000
89563,28,2 stroke,Single Light,395000
38000,12,4 stroke,Double Light,960000
10211,10,4 stroke,Double Light,975000
75260,13,4 stroke,Double Light,675000
125000,29,2 stroke,Single Light,315000
81000,29,2 stroke,Single Light,335000
63778,19,2 stroke,Single Light,438000
45120,22,2 stroke,Single Light,400000
66789,5,4 stroke,Double Light,1080000
52366,19,2 stroke,Single Light,480000
32154,13,4 stroke,Double Light,630000
26541,10,4 stroke,Double Light,900000
44331,9,4 stroke,Double Light,835000
50000,13,4 stroke,Double Light,715000
